trade,job_size_band,unit,rate_low_cad,rate_high_cad,includes,status,notes
electrical_rough_and_finish,small_lt_500sqft,lump_sum,3000,5000,ESA-certified rough-in + devices + pot lights,PLACEHOLDER_OWNER_VERIFY,"accessory unit adds separate-circuit requirements; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
electrical_rough_and_finish,medium_500_1000sqft,lump_sum,4000,7000,ESA-certified rough-in + devices + pot lights,PLACEHOLDER_OWNER_VERIFY,"labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
electrical_rough_and_finish,large_1000_2000sqft,lump_sum,5500,9000,ESA-certified rough-in + devices + pot lights,PLACEHOLDER_OWNER_VERIFY,"labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
electrical_panel_upgrade_200A,any,lump_sum,1250,2250,200 AMP panel upgrade,PLACEHOLDER_OWNER_VERIFY,"standard inclusion on accessory-unit packages per real quotes; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
plumbing_rough_and_finish,small_lt_500sqft,lump_sum,2500,4500,certified rough-in + fixture install,PLACEHOLDER_OWNER_VERIFY,"assumes existing rough-in nearby; no rough-in adds 30-50%; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
plumbing_rough_and_finish,medium_500_1000sqft,lump_sum,3500,6000,certified rough-in + fixture install,PLACEHOLDER_OWNER_VERIFY,"labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
plumbing_rough_and_finish,large_1000_2000sqft,lump_sum,4500,8000,certified rough-in + fixture install,PLACEHOLDER_OWNER_VERIFY,"labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
plumbing_stack_relocation,any,lump_sum,750,1750,relocate stack if needed/doable,PLACEHOLDER_OWNER_VERIFY,"real quotes carry this as conditional line; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
water_separation_manifold,any,lump_sum,600,1250,water separation per dwelling,PLACEHOLDER_OWNER_VERIFY,"accessory units only; grounded as scope line in real quotes; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
fire_sprinkler_furnace_room,any,per_head,750,1500,sprinkler head per approved permit,PLACEHOLDER_OWNER_VERIFY,"accessory units; grounded as scope line in real quotes; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
hvac_rough_and_finish,small_lt_500sqft,lump_sum,1500,3000,vents + returns + exhaust rough-ins,PLACEHOLDER_OWNER_VERIFY,"labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
hvac_rough_and_finish,medium_500_1000sqft,lump_sum,2250,4000,vents + returns + exhaust rough-ins,PLACEHOLDER_OWNER_VERIFY,"labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
hvac_rough_and_finish,large_1000_2000sqft,lump_sum,3000,5500,vents + returns + exhaust rough-ins,PLACEHOLDER_OWNER_VERIFY,"duct trunk relocation excluded per real quotes; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
drywall_tape_mud,small_lt_500sqft,per_sqft_surface,1.38,2.00,board + machine mud + tape + corner bead,PLACEHOLDER_OWNER_VERIFY,"level 4 finish per real quotes; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
drywall_tape_mud,medium_500_1000sqft,per_sqft_surface,1.25,1.88,board + machine mud + tape + corner bead,PLACEHOLDER_OWNER_VERIFY,"labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
drywall_tape_mud,large_1000_2000sqft,per_sqft_surface,1.12,1.75,board + machine mud + tape + corner bead,PLACEHOLDER_OWNER_VERIFY,"labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
insulation,any,per_sqft_surface,0.75,1.50,Rockwool Safe n Sound batts,PLACEHOLDER_OWNER_VERIFY,"spray foam (cold room) prices separately ~4-6/sqft; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
painting,small_lt_500sqft,lump_sum,1250,2250,spray primer + 2 coats + doors/trims,PLACEHOLDER_OWNER_VERIFY,"Benjamin Moore standard per real quotes; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
painting,medium_500_1000sqft,lump_sum,1750,3000,spray primer + 2 coats + doors/trims,PLACEHOLDER_OWNER_VERIFY,"labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
painting,large_1000_2000sqft,lump_sum,2500,4250,spray primer + 2 coats + doors/trims,PLACEHOLDER_OWNER_VERIFY,"labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
flooring_install_lvp,any,per_sqft_floor,1.00,1.75,LVP + underpad + baseboards install labor,PLACEHOLDER_OWNER_VERIFY,"material allowance separate; see material-allowances CSV; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
subfloor_dmx,any,per_sqft_floor,1.00,1.50,DMX 1-Step subfloor install,PLACEHOLDER_OWNER_VERIFY,"DMX+plywood variant is an upgrade line per real quotes; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
tiling,any,per_sqft_floor,4.00,7.00,floor/wall tile install labor,PLACEHOLDER_OWNER_VERIFY,"large-format 24x48 at high end; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
stairs_finish,any,lump_sum,1250,2500,laminate caps/risers or sand-and-stain,PLACEHOLDER_OWNER_VERIFY,"labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
millwork_doors_trim,any,per_door,175,300,door + casing + hardware install,PLACEHOLDER_OWNER_VERIFY,"20-min fire-rated door required at suite boundary for accessory units; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
kitchen_install,any,lump_sum,1750,3500,cabinet + counter template/install labor,PLACEHOLDER_OWNER_VERIFY,"cabinets/counters are material allowances; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
bathroom_build,any,per_bathroom,4000,7500,full 3-piece build labor all trades,PLACEHOLDER_OWNER_VERIFY,"cross-check against trade lines to avoid double count; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
